date_raw,date,year,month,week_of_year,vegetable,price_lkr,category,sub_category
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Beet Root  1kg,125.56,Up Country Vegetables,Up Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Bitter Guard  1kg,225.81,Low Country Vegetables,Low Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Brinjal  1kg,96.57,Low Country Vegetables,Low Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Cabbagge Seed  1kg,95.43,Up Country Vegetables,Up Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Cap Chillies  1kg,255.14,Low Country Vegetables,Low Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Carrot  1kg,132.8,Up Country Vegetables,Up Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Cucumber  1kg,147.69,Low Country Vegetables,Low Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Drumstick  1kg,575.38,Low Country Vegetables,Low Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Gotukola  Bunch,29.69,Leaves,Leaves
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Green Chillies  1kg,351.39,Low Country Vegetables,Low Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Imported Potatoes  1Kg,105.5,Potatoes,Potatoes
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Kankun  Bunch,34.09,Leaves,Leaves
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Kathurumurunga  Bunch,37.5,Leaves,Leaves
W3.Feb.2017,2017-02-15,2017.0,2.0,7,KnolKhol  1kg,148.74,Up Country Vegetables,Up Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Kohila Leaves  Bunch,37.0,Leaves,Leaves
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Kohila Yams  1kg,137.92,Low Country Vegetables,Low Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Leeks  1kg,120.0,Up Country Vegetables,Up Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Limes  1kg,326.67,Low Country Vegetables,Low Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Local Potatoes 1Kg,164.08,Potatoes,Potatoes
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Long Beans  1kg,138.26,Low Country Vegetables,Low Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Mukunuwenna  Bunch,35.0,Leaves,Leaves
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Nivithi  500g,49.29,Leaves,Leaves
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Raddish  1kg,98.71,Up Country Vegetables,Up Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Red Pumpkin  1kg,116.43,Low Country Vegetables,Low Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Sarana  Bunch,36.15,Leaves,Leaves
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Snake Gourd  1kg,134.28,Low Country Vegetables,Low Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Thampala  Bunch,35.63,Leaves,Leaves
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Tomatoe No1.  1kg,126.67,Up Country Vegetables,Up Country
W3.Feb.2017,2017-02-15,2017.0,2.0,7,Vetakolu  1kg,176.92,Low Country Vegetables,Low Country
W4.Feb.2017,2017-02-22,2017.0,2.0,8,Ash Plantain  1kg,133.14,Low Country Vegetables,Low Country
W4.Feb.2017,2017-02-22,2017.0,2.0,8,Ash Pumpkin  1kg,114.29,Low Country Vegetables,Low Country
W4.Feb.2017,2017-02-22,2017.0,2.0,8,Bandakka  1kg,143.53,Low Country Vegetables,Low Country
W4.Feb.2017,2017-02-22,2017.0,2.0,8,Beans Butter  1kg,270.0,Up Country Vegetables,Up Country
W4.Feb.2017,2017-02-22,2017.0,2.0,8,Beans Green  1kg,175.68,Up Country Vegetables,Up Country
